"z","y","x","ax","ay","az","gx","gy","gz","b","c"
294,43,127,8.56,-5.54,-3.5,-9276.5,-3595.99,-1984.24,2.56,493
304,45,137,6,-5.9,-3.49,-7800.86,-2467.77,-8320.2,2.56,493
337,46,164,6.14,-3.54,-4.68,-4845.99,-1002.87,-4931.95,2.56,493
345,46,169,6.91,-2.48,-4.66,-4179.8,-780.8,-1808.74,2.56,493
352,46,173,7.52,-2.74,-5.88,-3334.53,-85.96,-2929.8,2.56,493
357,46,176,8.85,-1.75,-6.41,-2790.11,179.08,-368.91,2.56,493
0,46,177,8.25,-1,-7.27,-2414.04,655.44,494.27,2.56,493
3,47,178,6.16,-0.78,-7.49,-1916.19,1035.1,1131.81,2.56,494
4,47,178,7.07,0.61,-7.27,-1543.7,734.24,3621.06,2.56,494
4,48,177,6.93,1.09,-6.81,-1171.2,949.14,1636.82,2.56,494
5,48,176,5.36,0.01,-6.35,-1045.85,544.41,3030.09,2.56,494
4,48,174,5.86,-0.32,-6.18,-551.58,64.47,1332.38,2.56,494
4,48,174,6.01,-0.92,-6.57,-247.13,-590.97,1310.89,2.56,494
2,48,173,6.55,-1.73,-6.82,-93.12,-1092.41,2238.54,2.56,494
1,47,173,6.61,-0.76,-6.41,422.64,-1095.99,-533.67,2.56,494
1,46,173,5.61,-1.08,-6.27,426.22,-1189.11,-848.85,2.56,494
0,46,173,5.94,-1.19,-6.61,465.62,-1393.27,-1002.87,2.56,494
0,45,174,5.94,0.57,-6.41,537.25,-1300.14,-1590.26,2.56,494
9,44,175,5.74,2.2,-6.17,476.36,-906.16,-3119.63,2.56,494
6,44,177,7.28,1.65,-7.2,139.68,-691.26,-3223.5,2.56,494
5,44,179,9.92,-0.99,-8.83,157.59,75.21,-2718.48,2.56,494
3,44,-179,8.65,0.71,-8.8,354.58,734.24,-1192.69,2.56,494
2,45,179,8.41,0.25,-8.4,265.04,1085.24,1346.7,2.56,494
1,45,178,6.16,0.48,-6.68,329.51,1529.37,1067.34,2.56,494
0,46,178,4.9,0.13,-5.88,207.74,1343.12,1393.27,2.56,494
359,47,176,4.78,0.06,-5.59,96.7,970.63,1726.36,2.56,494
358,47,175,5.81,-0.73,-5.75,100.29,587.39,744.99,2.56,494
357,48,174,6.78,-1.27,-6.23,179.08,225.64,1633.24,2.56,494
355,47,173,7.13,-1.32,-6.2,476.36,207.74,1866.05,2.56,494
353,48,171,7.54,-1.17,-5.61,676.93,372.49,1314.47,2.56,494
351,48,170,9.07,-0.45,-5.2,802.29,709.17,770.06,2.56,494
349,48,169,10.44,-1.31,-5.55,866.76,1228.51,1067.34,2.56,494
347,49,167,9.7,-1.32,-5.71,952.72,1615.33,2037.97,2.56,494
344,50,164,8.94,-1.71,-5.64,988.54,1565.19,2772.21,2.56,495
341,50,161,7.24,-1.19,-5.08,949.14,1167.62,2772.21,2.56,495
339,50,158,6.23,-0.78,-4.62,612.46,393.98,2485.67,2.56,495
337,49,157,6.57,-1.2,-4.54,207.74,-268.62,2045.13,2.56,495
335,48,156,6.86,-1.12,-4.31,-361.75,-963.47,1704.87,2.56,495
334,47,155,7.42,-1.77,-4.64,-1078.08,-1482.81,2417.62,2.56,495
333,45,155,8.17,-2.91,-5.51,-1532.95,-1590.26,2539.4,2.56,495
333,44,155,6.94,-2.56,-5.9,-1715.62,-1429.08,2353.15,2.56,495
332,43,155,6.76,-2.75,-6.17,-1851.72,-1393.27,2790.11,2.56,495
332,41,155,6.12,-2.53,-6.89,-1894.7,-1239.26,2557.31,2.56,495
333,40,156,6.03,-2.36,-8.14,-1772.92,-974.21,1633.24,2.56,495
334,39,156,6.76,-3.33,-9.14,-1404.01,-476.36,-200.57,2.56,495
24,39,158,7.24,-3.09,-8.59,-938.4,-64.47,-916.91,2.56,495
23,40,158,7.08,-3.21,-7.23,-207.74,684.1,-999.28,2.56,495
338,41,158,4.73,-2.46,-5.55,666.19,1361.03,-100.29,2.56,495
337,41,157,4.03,-6.57,-4.26,1643.98,1837.39,594.56,2.56,495
335,43,155,3.13,-6.33,-5.13,3502.87,2553.72,-17.91,2.56,495
328,43,149,3.64,-6.01,-2.92,5239.97,2779.37,4992.84,2.56,495
318,42,140,4.82,-4.82,-2.44,7217.05,3151.86,8137.54,2.56,495
309,40,132,6.09,-4.46,-2.98,9068.77,3810.89,8739.25,2.56,495
