z,y,x,ax,ay,az,gx,gy,gz,b,c
298,38,117,5.06,-3.32,-13.06,-1780.09,-2951.29,-3234.24,2.56,257
300,39,123,0.29,0.54,-13.32,-3911.17,-6253.58,-5809.46,2.57,257
301,39,130,1.91,0.34,-12.38,-6708.45,-9645.42,-5641.12,2.57,257
304,37,141,3.99,-1.77,-9.33,-8313.04,-10694.84,-5565.90,2.56,257
20,32,151,14.43,-8.95,-1.73,-9494.99,-9591.69,-1755.01,2.56,257
21,29,158,23.64,-15.42,4.46,-7919.05,-4158.31,569.48,2.56,257
23,28,161,27.35,-15.84,6.89,-4047.28,3517.19,2811.60,2.56,257
26,31,160,31.53,-20.29,3.50,-222.06,9484.24,4161.89,2.56,257
333,39,153,33.25,-23.05,-6.11,6386.10,17299.43,5390.40,2.57,257
332,47,140,30.10,-24.26,-22.13,14007.88,23785.82,6819.48,2.57,257
325,51,108,14.14,-17.09,-30.48,20354.58,25816.62,13997.13,2.56,257
314,41,72,3.49,-14.02,-29.28,28653.29,24448.42,15315.19,2.56,257
300,23,46,-2.75,-1.18,-25.80,33266.48,17790.12,18019.34,2.57,257
291,13,30,12.75,-0.24,-13.44,31973.50,11686.96,16647.56,2.57,257
281,2,10,13.78,7.18,-4.49,29935.53,9849.57,14172.64,2.57,257
274,-3,-5,22.05,-6.47,12.27,13825.21,5834.53,7209.89,2.57,257
275,-9,-16,-15.96,-13.40,4.25,14566.62,7926.22,1643.98,2.57,257
272,-10,-24,-9.55,5.19,5.94,13567.33,487.11,12503.58,2.57,257
263,-5,-33,1.77,9.49,4.71,10329.51,-3495.70,14186.96,2.57,258
258,0,-38,4.07,12.66,6.36,5870.34,-4140.40,6844.56,2.57,258
256,4,-40,2.19,9.36,5.75,1224.93,-3305.87,1944.84,2.57,258
256,6,-40,1.85,3.86,5.67,-1529.37,-2919.05,791.55,2.57,258
257,7,-39,3.48,3.81,5.85,-1751.43,-2406.88,-1321.63,2.57,258
257,8,-38,5.84,2.55,5.37,-1733.52,-1962.75,1017.19,2.57,258
258,9,-37,4.52,4.94,5.61,-795.13,-659.03,-444.13,2.57,258
258,9,-37,1.75,4.53,5.83,0.00,93.12,-666.19,2.56,258
258,9,-37,3.36,4.46,5.56,501.43,46.56,1618.91,2.57,258
257,9,-38,1.37,6.03,6.93,1450.57,669.77,558.74,2.56,258
256,9,-39,2.44,6.42,6.36,1593.84,608.88,1643.98,2.57,258
255,9,-39,1.37,8.14,6.39,1335.96,802.29,1267.91,2.57,258
254,9,-40,2.38,9.44,6.79,630.37,655.44,1475.64,2.56,258
253,10,-40,-0.34,7.52,6.20,-630.37,709.17,752.15,2.57,258
